Title, Year, Rating, Cast
The Help,2011,8.1,Tate Taylor; Emma Stone; Viola Davis; Octavia Spencer; Bryce Dallas Howard;
Prisoners,2013,8.1,Denis Villeneuve; Hugh Jackman; Jake Gyllenhaal; Viola Davis; Melissa Leo;
Mad Max: Fury Road,2015,8.1,George Miller; Tom Hardy; Charlize Theron; Nicholas Hoult; Zoë Kravitz;
Gran Torino,2008,8.1,Clint Eastwood; Clint Eastwood; Bee Vang; Christopher Carley; Ahney Her;
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,David Yates; Daniel Radcliffe; Emma Watson; Rupert Grint; Michael Gambon;
Nefes: Vatan Sagolsun,2009,8.1,Levent Semerci; Mete Horozoglu; Ilker Kizmaz; Baris Bagci; Özgür Eren Koç;
Shutter Island,2010,8.1,Martin Scorsese; Leonardo DiCaprio; Emily Mortimer; Mark Ruffalo; Ben Kingsley;
Okuribito,2008,8.1,Yôjirô Takita; Masahiro Motoki; Ryôko Hirosue; Tsutomu Yamazaki; Kazuko Yoshiyuki;
Hachi: A Dog's Tale,2009,8.1,Lasse Hallström; Richard Gere; Joan Allen; Cary-Hiroyuki Tagawa; Sarah Roemer;
Mary and Max,2009,8.1,Adam Elliot; Toni Collette; Philip Seymour Hoffman; Eric Bana; Barry Humphries;
How to Train Your Dragon,2010,8.1,Dean DeBlois; Chris Sanders; Jay Baruchel; Gerard Butler; Christopher Mintz-Plasse; Craig Ferguson;
Tropa de Elite,2007,8.1,José Padilha; Wagner Moura; André Ramiro; Caio Junqueira; Milhem Cortaz;
The Avengers,2012,8.1,Joss Whedon; Robert Downey Jr.; Chris Evans; Scarlett Johansson; Jeremy Renner;
Persepolis,2007,8.1,Vincent Paronnaud; Marjane Satrapi; Chiara Mastroianni; Catherine Deneuve; Gena Rowlands; Danielle Darrieux;
Into the Wild,2007,8.1,Sean Penn; Emile Hirsch; Vince Vaughn; Catherine Keener; Marcia Gay Harden;
No Country for Old Men,2007,8.1,Ethan Coen; Joel Coen; Tommy Lee Jones; Javier Bardem; Josh Brolin; Woody Harrelson;
Lage Raho Munna Bhai,2006,8.1,Rajkumar Hirani; Sanjay Dutt; Arshad Warsi; Vidya Balan; Jimmy Sheirgill;
Million Dollar Baby,2004,8.1,Clint Eastwood; Hilary Swank; Clint Eastwood; Morgan Freeman; Jay Baruchel;
Hotel Rwanda,2004,8.1,Terry George; Don Cheadle; Sophie Okonedo; Joaquin Phoenix; Xolani Mali;
Taegukgi hwinalrimyeo,2004,8.1,Je-kyu Kang; Dong-Gun Jang; Won Bin; Eun-ju Lee; Hyeong-jin Kong;
Before Sunset,2004,8.1,Richard Linklater; Ethan Hawke; Julie Delpy; Vernon Dobtcheff; Louise Lemoine Torrès;
Bom yeoreum gaeul gyeoul geurigo bom,2003,8.1,Ki-duk Kim; Ki-duk Kim; Yeong-su Oh; Jong-ho Kim; Young-min Kim;
Salinui chueok,2003,8.1,Joon-ho Bong; Kang-ho Song; Sang-kyung Kim; Roe-ha Kim; Jae-ho Song;
Mou gaan dou,2002,8.1,Andrew Lau Wai-Keung; Alan Mak; Andy Lau; Tony Chiu-Wai Leung; Anthony Chau-Sang Wong; Eric Tsang;
Yeopgijeogin geunyeo,2001,8.1,Jae-young Kwak; Tae-Hyun Cha; Ji-hyun Jun; In-mun Kim; Wok-suk Song;
Dil Chahta Hai,2001,8.1,Farhan Akhtar; Aamir Khan; Saif Ali Khan; Akshaye Khanna; Preity Zinta;
Kill Bill: Vol. 1,2003,8.1,Quentin Tarantino; Uma Thurman; David Carradine; Daryl Hannah; Michael Madsen;
Finding Nemo,2003,8.1,Andrew Stanton; Lee Unkrich; Albert Brooks; Ellen DeGeneres; Alexander Gould; Willem Dafoe;
Catch Me If You Can,2002,8.1,Steven Spielberg; Leonardo DiCaprio; Tom Hanks; Christopher Walken; Martin Sheen;
Donnie Darko,2001,8.1,Richard Kelly; Jake Gyllenhaal; Jena Malone; Mary McDonnell; Holmes Osborne;
Amores perros,2000,8.1,Alejandro G. Iñárritu; Emilio Echevarría; Gael García Bernal; Goya Toledo; Álvaro Guerrero;
Monsters| Inc.,2001,8.1,Pete Docter; David Silverman; Lee Unkrich; Billy Crystal; John Goodman; Mary Gibbs; Steve Buscemi;
Lagaan: Once Upon a Time in India,2001,8.1,Ashutosh Gowariker; Aamir Khan; Raghuvir Yadav; Gracy Singh; Rachel Shelley;
The Sixth Sense,1999,8.1,M. Night Shyamalan; Bruce Willis; Haley Joel Osment; Toni Collette; Olivia Williams;
Festen,1998,8.1,Thomas Vinterberg; Ulrich Thomsen; Henning Moritzen; Thomas Bo Larsen; Paprika Steen;
La leggenda del pianista sull'oceano,1998,8.1,Giuseppe Tornatore; Tim Roth; Pruitt Taylor Vince; Mélanie Thierry; Bill Nunn;
The Truman Show,1998,8.1,Peter Weir; Jim Carrey; Ed Harris; Laura Linney; Noah Emmerich;
Crna macka| beli macor,1998,8.1,Emir Kusturica; Bajram Severdzan; Srdjan 'Zika' Todorovic; Branka Katic; Florijan Ajdini;
The Big Lebowski,1998,8.1,Joel Coen; Ethan Coen; Jeff Bridges; John Goodman; Julianne Moore; Steve Buscemi;
Faa yeung nin wa,2000,8.1,Kar-Wai Wong; Tony Chiu-Wai Leung; Maggie Cheung; Ping Lam Siu; Tung Cho 'Joe' Cheung;
Fargo,1996,8.1,Joel Coen; Ethan Coen; William H. Macy; Frances McDormand; Steve Buscemi; Peter Stormare;
Underground,1995,8.1,Emir Kusturica; Predrag 'Miki' Manojlovic; Lazar Ristovski; Mirjana Jokovic; Slavko Stimac;
La haine,1995,8.1,Mathieu Kassovitz; Vincent Cassel; Hubert Koundé; Saïd Taghmaoui; Abdel Ahmed Ghili;
Before Sunrise,1995,8.1,Richard Linklater; Ethan Hawke; Julie Delpy; Andrea Eckert; Hanno Pöschl;
Trois couleurs: Rouge,1994,8.1,Krzysztof Kieslowski; Irène Jacob; Jean-Louis Trintignant; Frédérique Feder; Jean-Pierre Lorit;
Chung Hing sam lam,1994,8.1,Kar-Wai Wong; Brigitte Lin; Takeshi Kaneshiro; Tony Chiu-Wai Leung; Faye Wong;
Jurassic Park,1993,8.1,Steven Spielberg; Sam Neill; Laura Dern; Jeff Goldblum; Richard Attenborough;
In the Name of the Father,1993,8.1,Jim Sheridan; Daniel Day-Lewis; Pete Postlethwaite; Alison Crosbie; Philip King;
Dead Poets Society,1989,8.1,Peter Weir; Robin Williams; Robert Sean Leonard; Ethan Hawke; Josh Charles;
Akira,1988,8.1,Katsuhiro Ôtomo; Mitsuo Iwata; Nozomu Sasaki; Mami Koyama; Tesshô Genda;
The Princess Bride,1987,8.1,Rob Reiner; Cary Elwes; Mandy Patinkin; Robin Wright; Chris Sarandon;
Der Himmel über Berlin,1987,8.1,Wim Wenders; Bruno Ganz; Solveig Dommartin; Otto Sander; Curt Bois;
Tenkû no shiro Rapyuta,1986,8.1,Hayao Miyazaki; Anna Paquin; James Van Der Beek; Cloris Leachman; Mark Hamill;
Stand by Me,1986,8.1,Rob Reiner; Wil Wheaton; River Phoenix; Corey Feldman; Jerry O'Connell;
Platoon,1986,8.1,Oliver Stone; Charlie Sheen; Tom Berenger; Willem Dafoe; Keith David;
Paris| Texas,1984,8.1,Wim Wenders; Harry Dean Stanton; Nastassja Kinski; Dean Stockwell; Aurore Clément;
Kaze no tani no Naushika,1984,8.1,Hayao Miyazaki; Sumi Shimamoto; Mahito Tsujimura; Hisako Kyôda; Gorô Naya;
The Thing,1982,8.1,John Carpenter; Kurt Russell; Wilford Brimley; Keith David; Richard Masur;
Gandhi,1982,8.1,Richard Attenborough; Ben Kingsley; John Gielgud; Rohini Hattangadi; Roshan Seth;
Fitzcarraldo,1982,8.1,Werner Herzog; Klaus Kinski; Claudia Cardinale; José Lewgoy; Miguel Ángel Fuentes;
Fanny och Alexander,1982,8.1,Ingmar Bergman; Bertil Guve; Pernilla Allwin; Kristina Adolphson; Börje Ahlstedt;
Stalker,1979,8.1,Andrei Tarkovsky; Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn; Nikolay Grinko;
Life of Brian,1979,8.1,Terry Jones; Graham Chapman; John Cleese; Michael Palin; Terry Gilliam;
The Deer Hunter,1978,8.1,Michael Cimino; Robert De Niro; Christopher Walken; John Cazale; John Savage;
Rocky,1976,8.1,John G. Avildsen; Sylvester Stallone; Talia Shire; Burt Young; Carl Weathers;
Network,1976,8.1,Sidney Lumet; Faye Dunaway; William Holden; Peter Finch; Robert Duvall;
Barry Lyndon,1975,8.1,Stanley Kubrick; Ryan O'Neal; Marisa Berenson; Patrick Magee; Hardy Krüger;
Zerkalo,1975,8.1,Andrei Tarkovsky; Margarita Terekhova; Filipp Yankovskiy; Ignat Daniltsev; Oleg Yankovskiy;
Paper Moon,1973,8.1,Peter Bogdanovich; Ryan O'Neal; Tatum O'Neal; Madeline Kahn; John Hillerman;
Viskningar och rop,1972,8.1,Ingmar Bergman; Harriet Andersson; Liv Ullmann; Kari Sylwan; Ingrid Thulin;
Solaris,1972,8.1,Andrei Tarkovsky; Natalya Bondarchuk; Donatas Banionis; Jüri Järvet; Vladislav Dvorzhetskiy;
The Last Picture Show,1971,8.1,Peter Bogdanovich; Timothy Bottoms; Jeff Bridges; Cybill Shepherd; Ben Johnson;
Butch Cassidy and the Sundance Kid,1969,8.1,George Roy Hill; Paul Newman; Robert Redford; Katharine Ross; Strother Martin;
The Lion in Winter,1968,8.1,Anthony Harvey; Peter O'Toole; Katharine Hepburn; Anthony Hopkins; John Castle;
Le samouraï,1967,8.1,Jean-Pierre Melville; Alain Delon; François Périer; Nathalie Delon; Cathy Rosier;
Cool Hand Luke,1967,8.1,Stuart Rosenberg; Paul Newman; George Kennedy; Strother Martin; J.D. Cannon;
Persona,1966,8.1,Ingmar Bergman; Bibi Andersson; Liv Ullmann; Margaretha Krook; Gunnar Björnstrand;
La battaglia di Algeri,1966,8.1,Gillo Pontecorvo; Brahim Hadjadj; Jean Martin; Yacef Saadi; Tommaso Neri;
8½,1963,8.1,Federico Fellini; Marcello Mastroianni; Anouk Aimée; Claudia Cardinale; Sandra Milo;
What Ever Happened to Baby Jane?,1962,8.1,Robert Aldrich; Bette Davis; Joan Crawford; Victor Buono; Wesley Addy;
Sanjuro,1962,8.1,Akira Kurosawa; Toshirô Mifune; Tatsuya Nakadai; Keiju Kobayashi; Yûnosuke Itô;
Title, Year, Rating, Cast
The Man Who Shot Liberty Valance,1962,8.1,John Ford; James Stewart; John Wayne; Vera Miles; Lee Marvin;
Ivanovo detstvo,1962,8.1,Andrei Tarkovsky; Eduard Abalov; Nikolay Burlyaev; Valentin Zubkov; Evgeniy Zharikov; Stepan Krylov;
La dolce vita,1960,8.1,Federico Fellini; Marcello Mastroianni; Anita Ekberg; Anouk Aimée; Yvonne Furneaux;
Les quatre cents coups,1959,8.1,François Truffaut; Jean-Pierre Léaud; Albert Rémy; Claire Maurier; Guy Decomble;
Ben-Hur,1959,8.1,William Wyler; Charlton Heston; Jack Hawkins; Stephen Boyd; Haya Harareet;
Kakushi-toride no san-akunin,1958,8.1,Akira Kurosawa; Toshirô Mifune; Misa Uehara; Minoru Chiaki; Kamatari Fujiwara;
Le notti di Cabiria,1957,8.1,Federico Fellini; Giulietta Masina; François Périer; Franca Marzi; Dorian Gray;
Kumonosu-jô,1957,8.1,Akira Kurosawa; Toshirô Mifune; Minoru Chiaki; Isuzu Yamada; Takashi Shimura;
La Strada,1954,8.1,Federico Fellini; Anthony Quinn; Giulietta Masina; Richard Basehart; Aldo Silvani;
Les diaboliques,1955,8.1,Henri-Georges Clouzot; Simone Signoret; Véra Clouzot; Paul Meurisse; Charles Vanel;
Le salaire de la peur,1953,8.1,Henri-Georges Clouzot; Yves Montand; Charles Vanel; Peter van Eyck; Folco Lulli;
Roman Holiday,1953,8.1,William Wyler; Gregory Peck; Audrey Hepburn; Eddie Albert; Hartley Power;
Kind Hearts and Coronets,1949,8.1,Robert Hamer; Dennis Price; Alec Guinness; Valerie Hobson; Joan Greenwood;
Brief Encounter,1945,8.1,David Lean; Celia Johnson; Trevor Howard; Stanley Holloway; Joyce Carey;
The Best Years of Our Lives,1946,8.1,William Wyler; Myrna Loy; Dana Andrews; Fredric March; Teresa Wright;
The Maltese Falcon,1941,8.1,John Huston; Humphrey Bogart; Mary Astor; Gladys George; Peter Lorre;
Rebecca,1940,8.1,Alfred Hitchcock; Laurence Olivier; Joan Fontaine; George Sanders; Judith Anderson;
The Grapes of Wrath,1940,8.1,John Ford; Henry Fonda; Jane Darwell; John Carradine; Charley Grapewin;
La Grande Illusion,1937,8.1,Jean Renoir; Jean Gabin; Dita Parlo; Pierre Fresnay; Erich von Stroheim;
It Happened One Night,1934,8.1,Frank Capra; Clark Gable; Claudette Colbert; Walter Connolly; Roscoe Karns;
All Quiet on the Western Front,1930,8.1,Lewis Milestone; Lew Ayres; Louis Wolheim; John Wray; Arnold Lucy;
La passion de Jeanne d'Arc,1928,8.1,Carl Theodor Dreyer; Maria Falconetti; Eugene Silvain; André Berley; Maurice Schutz;
Das Cabinet des Dr. Caligari,1920,8.1,Robert Wiene; Werner Krauss; Conrad Veidt; Friedrich Feher; Lil Dagover;
Manbiki kazoku,2018,8.0,Hirokazu Koreeda; Lily Franky; Sakura Andô; Kirin Kiki; Mayu Matsuoka;
John Wick: Chapter 3 - Parabellum,2019,8.0,Chad Stahelski; Keanu Reeves; Halle Berry; Ian McShane; Laurence Fishburne;
Bajrangi Bhaijaan,2015,8.0,Kabir Khan; Salman Khan; Harshaali Malhotra; Nawazuddin Siddiqui; Kareena Kapoor;
Baby,I) (2015,8.0,Neeraj Pandey; Akshay Kumar; Danny Denzongpa; Rana Daggubati; Taapsee Pannu;
La La Land,I) (2016,8.0,Damien Chazelle; Ryan Gosling; Emma Stone; Rosemarie DeWitt; J.K. Simmons;
The Martian,2015,8.0,Ridley Scott; Matt Damon; Jessica Chastain; Kristen Wiig; Kate Mara;
Sing Street,2016,8.0,John Carney; Ferdia Walsh-Peelo; Aidan Gillen; Maria Doyle Kennedy; Jack Reynor;
Zootopia,2016,8.0,Byron Howard; Rich Moore; Jared Bush; Ginnifer Goodwin; Jason Bateman; Idris Elba; Jenny Slate;
Kaguyahime no monogatari,2013,8.0,Isao Takahata; Chloë Grace Moretz; James Caan; Mary Steenburgen; James Marsden;
Wonder,I) (2017,8.0,Stephen Chbosky; Jacob Tremblay; Owen Wilson; Izabela Vidovic; Julia Roberts;
Star Wars: Episode VII - The Force Awakens,2015,8.0,J.J. Abrams; Daisy Ridley; John Boyega; Oscar Isaac; Domhnall Gleeson;
Special Chabbis,2013,8.0,Neeraj Pandey; Akshay Kumar; Anupam Kher; Manoj Bajpayee; Jimmy Sheirgill;
Short Term 12,2013,8.0,Destin Daniel Cretton; Brie Larson; Frantz Turner; John Gallagher Jr.; Kaitlyn Dever;
Serbuan Maut 2: Berandal,2014,8.0,Gareth Evans; Iko Uwais; Yayan Ruhian; Arifin Putra; Oka Antara;
The Imitation Game,2014,8.0,Alan Turing; Morten Tyldum; Benedict Cumberbatch; Keira Knightley; Matthew Goode; Allen Leech;
X-Men: Days of Future Past,2014,8.0,Bryan Singer; Patrick Stewart; Ian McKellen; Hugh Jackman; James McAvoy;
Blade Runner 2049,2017,8.0,Denis Villeneuve; Harrison Ford; Ryan Gosling; Ana de Armas; Dave Bautista;
Her,2013,8.0,Spike Jonze; Joaquin Phoenix; Amy Adams; Scarlett Johansson; Rooney Mara;
Bohemian Rhapsody,2018,8.0,Queen; Freddie Mercury; Live Aid; Bryan Singer; Rami Malek; Lucy Boynton; Gwilym Lee; Ben Hardy;
The Revenant,2015,8.0,Alejandro G. Iñárritu; Leonardo DiCaprio; Tom Hardy; Will Poulter; Domhnall Gleeson;
The Perks of Being a Wallflower,2012,8.0,Stephen Chbosky; Logan Lerman; Emma Watson; Ezra Miller; Paul Rudd;
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,José Padilha; Wagner Moura; Irandhir Santos; André Ramiro; Milhem Cortaz;
The King's Speech,2010,8.0,King George VI; Tom Hooper; Colin Firth; Geoffrey Rush; Helena Bonham Carter; Derek Jacobi;
Deadpool,2016,8.0,Tim Miller; Ryan Reynolds; Morena Baccarin; T.J. Miller; Ed Skrein;
Darbareye Elly,2009,8.0,Asghar Farhadi; Golshifteh Farahani; Shahab Hosseini; Taraneh Alidoosti; Merila Zare'i;
Dev.D,2009,8.0,Anurag Kashyap; Abhay Deol; Mahie Gill; Kalki Koechlin; Dibyendu Bhattacharya;
Yip Man,2008,8.0,Wilson Yip; Donnie Yen; Simon Yam; Siu-Wong Fan; Ka Tung Lam;
My Name Is Khan,2010,8.0,Karan Johar; Shah Rukh Khan; Kajol; Sheetal Menon; Katie A. Keane;
Vals Im Bashir,2008,8.0,Ari Folman; Ari Folman; Ron Ben-Yishai; Ronny Dayag; Ori Sivan;
Slumdog Millionaire,2008,8.0,Danny Boyle; Loveleen Tandan; Dev Patel; Freida Pinto; Saurabh Shukla; Anil Kapoor;
Black Swan,2010,8.0,Darren Aronofsky; Natalie Portman; Mila Kunis; Vincent Cassel; Winona Ryder;
Star Trek,2009,8.0,J.J. Abrams; Chris Pine; Zachary Quinto; Simon Pegg; Leonard Nimoy;
Dallas Buyers Club,2013,8.0,Jean-Marc Vallée; Matthew McConaughey; Jennifer Garner; Jared Leto; Steve Zahn;
The Pursuit of Happyness,2006,8.0,Gabriele Muccino; Will Smith; Thandie Newton; Jaden Smith; Brian Howe;
Blood Diamond,2006,8.0,Edward Zwick; Leonardo DiCaprio; Djimon Hounsou; Jennifer Connelly; Kagiso Kuypers;
The Bourne Ultimatum,2007,8.0,Paul Greengrass; Matt Damon; Edgar Ramírez; Joan Allen; Julia Stiles;
Bin-jip,2004,8.0,Ki-duk Kim; Seung-Yun Lee; Hee Jae; Hyuk-ho Kwon; Jeong-ho Choi;
Sin City,2005,8.0,Frank Miller; Robert Rodriguez; Quentin Tarantino; Mickey Rourke; Clive Owen; Bruce Willis; Jessica Alba;
Le scaphandre et le papillon,2007,8.0,Jean-Dominique Bauby; Julian Schnabel; Mathieu Amalric; Emmanuelle Seigner; Marie-Josée Croze; Anne Consigny;
G.O.R.A.,2004,8.0,Ömer Faruk Sorak; Cem Yilmaz; Özge Özberk; Ozan Güven; Safak Sezer;
Ratatouille,2007,8.0,Brad Bird; Jan Pinkava; Brad Garrett; Lou Romano; Patton Oswalt; Ian Holm;
Casino Royale,2006,8.0,Martin Campbell; Daniel Craig; Eva Green; Judi Dench; Jeffrey Wright;
Kill Bill: Vol. 2,2004,8.0,Quentin Tarantino; Uma Thurman; David Carradine; Michael Madsen; Daryl Hannah;
Vozvrashchenie,2003,8.0,Andrey Zvyagintsev; Vladimir Garin; Ivan Dobronravov; Konstantin Lavronenko; Nataliya Vdovina;
Mar adentro,I) (2004,8.0,Alejandro Amenábar; Javier Bardem; Belén Rueda; Lola Dueñas; Mabel Rivera;
Cinderella Man,2005,8.0,Ron Howard; Russell Crowe; Renée Zellweger; Craig Bierko; Paul Giamatti;
Kal Ho Naa Ho,2003,8.0,Nikkhil Advani; Preity Zinta; Shah Rukh Khan; Saif Ali Khan; Jaya Bhaduri;
Mystic River,2003,8.0,Clint Eastwood; Sean Penn; Tim Robbins; Kevin Bacon; Emmy Rossum;
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,Gore Verbinski; Johnny Depp; Geoffrey Rush; Orlando Bloom; Keira Knightley;
Big Fish,2003,8.0,Tim Burton; Ewan McGregor; Albert Finney; Billy Crudup; Jessica Lange;
The Incredibles,2004,8.0,Brad Bird; Craig T. Nelson; Samuel L. Jackson; Holly Hunter; Jason Lee;
Hable con ella,2002,8.0,Pedro Almodóvar; Rosario Flores; Javier Cámara; Darío Grandinetti; Leonor Watling;
No Man's Land,I) (2001,8.0,Danis Tanovic; Branko Djuric; Rene Bitorajac; Filip Sovagovic; Georges Siatidis;
Dogville,2003,8.0,Lars von Trier; Nicole Kidman; Paul Bettany; Lauren Bacall; Harriet Andersson;
Vizontele,2001,8.0,See full summary; Yilmaz Erdogan; Ömer Faruk Sorak; Yilmaz Erdogan; Demet Akbag; Altan Erkekli; Cem Yilmaz;
Magnolia,1999,8.0,Paul Thomas Anderson; Tom Cruise; Jason Robards; Julianne Moore; Philip Seymour Hoffman;
Dancer in the Dark,2000,8.0,Lars von Trier; Björk; Catherine Deneuve; David Morse; Peter Stormare;
Mulholland Dr.,2001,8.0,David Lynch; Naomi Watts; Laura Harring; Justin Theroux; Jeanne Bates;
The Straight Story,1999,8.0,David Lynch; Richard Farnsworth; Sissy Spacek; Jane Galloway Heitz; Joseph A. Carpenter;
Central do Brasil,1998,8.0,Walter Salles; Fernanda Montenegro; Vinícius de Oliveira; Marília Pêra; Soia Lira;
The Iron Giant,1999,8.0,Brad Bird; Eli Marienthal; Harry Connick Jr.; Jennifer Aniston; Vin Diesel;
Sling Blade,1996,8.0,Billy Bob Thornton; Billy Bob Thornton; Dwight Yoakam; J.T. Walsh; John Ritter;
Secrets & Lies,1996,8.0,Mike Leigh; Timothy Spall; Brenda Blethyn; Phyllis Logan; Claire Rushbrook;
Twelve Monkeys,1995,8.0,Terry Gilliam; Bruce Willis; Madeleine Stowe; Brad Pitt; Joseph Melito;
Mimi wo sumaseba,1995,8.0,Yoshifumi Kondô; Yoko Honna; Issey Takahashi; Takashi Tachibana; Shigeru Muroi;
Kôkaku Kidôtai,1995,8.0,Mamoru Oshii; Atsuko Tanaka; Iemasa Kayumi; Akio Ôtsuka; Kôichi Yamadera;
Trois couleurs: Bleu,1993,8.0,Krzysztof Kieslowski; Juliette Binoche; Zbigniew Zamachowski; Julie Delpy; Benoît Régent;
The Nightmare Before Christmas,1993,8.0,Henry Selick; Danny Elfman; Chris Sarandon; Catherine O'Hara; William Hickey;
Groundhog Day,1993,8.0,Harold Ramis; Bill Murray; Andie MacDowell; Chris Elliott; Stephen Tobolowsky;
Bound by Honor,1993,8.0,Taylor Hackford; Damian Chapa; Jesse Borrego; Benjamin Bratt; Enrique Castillo;
Scent of a Woman,1992,8.0,Martin Brest; Al Pacino; Chris O'Donnell; James Rebhorn; Gabrielle Anwar;
Aladdin,1992,8.0,Ron Clements; John Musker; Scott Weinger; Robin Williams; Linda Larkin; Jonathan Freeman;
JFK,1991,8.0,Oliver Stone; Kevin Costner; Gary Oldman; Jack Lemmon; Walter Matthau;
Beauty and the Beast,1991,8.0,Gary Trousdale; Kirk Wise; Paige O'Hara; Robby Benson; Jesse Corti; Rex Everhart;
Dances with Wolves,1990,8.0,Kevin Costner; Kevin Costner; Mary McDonnell; Graham Greene; Rodney A. Grant;
Rain Man,1988,8.0,Barry Levinson; Dustin Hoffman; Tom Cruise; Valeria Golino; Gerald R. Molen;
Au revoir les enfants,1987,8.0,Louis Malle; Gaspard Manesse; Raphael Fejtö; Francine Racette; Stanislas Carré de Malberg;
Title, Year, Rating, Cast
The Man Who Shot Liberty Valance,1962,8.1,John Ford; James Stewart; John Wayne; Vera Miles; Lee Marvin;
Ivanovo detstvo,1962,8.1,Andrei Tarkovsky; Eduard Abalov; Nikolay Burlyaev; Valentin Zubkov; Evgeniy Zharikov; Stepan Krylov;
La dolce vita,1960,8.1,Federico Fellini; Marcello Mastroianni; Anita Ekberg; Anouk Aimée; Yvonne Furneaux;
Les quatre cents coups,1959,8.1,François Truffaut; Jean-Pierre Léaud; Albert Rémy; Claire Maurier; Guy Decomble;
Ben-Hur,1959,8.1,William Wyler; Charlton Heston; Jack Hawkins; Stephen Boyd; Haya Harareet;
Kakushi-toride no san-akunin,1958,8.1,Akira Kurosawa; Toshirô Mifune; Misa Uehara; Minoru Chiaki; Kamatari Fujiwara;
Le notti di Cabiria,1957,8.1,Federico Fellini; Giulietta Masina; François Périer; Franca Marzi; Dorian Gray;
Kumonosu-jô,1957,8.1,Akira Kurosawa; Toshirô Mifune; Minoru Chiaki; Isuzu Yamada; Takashi Shimura;
La Strada,1954,8.1,Federico Fellini; Anthony Quinn; Giulietta Masina; Richard Basehart; Aldo Silvani;
Les diaboliques,1955,8.1,Henri-Georges Clouzot; Simone Signoret; Véra Clouzot; Paul Meurisse; Charles Vanel;
Le salaire de la peur,1953,8.1,Henri-Georges Clouzot; Yves Montand; Charles Vanel; Peter van Eyck; Folco Lulli;
Roman Holiday,1953,8.1,William Wyler; Gregory Peck; Audrey Hepburn; Eddie Albert; Hartley Power;
Kind Hearts and Coronets,1949,8.1,Robert Hamer; Dennis Price; Alec Guinness; Valerie Hobson; Joan Greenwood;
Brief Encounter,1945,8.1,David Lean; Celia Johnson; Trevor Howard; Stanley Holloway; Joyce Carey;
The Best Years of Our Lives,1946,8.1,William Wyler; Myrna Loy; Dana Andrews; Fredric March; Teresa Wright;
The Maltese Falcon,1941,8.1,John Huston; Humphrey Bogart; Mary Astor; Gladys George; Peter Lorre;
Rebecca,1940,8.1,Alfred Hitchcock; Laurence Olivier; Joan Fontaine; George Sanders; Judith Anderson;
The Grapes of Wrath,1940,8.1,John Ford; Henry Fonda; Jane Darwell; John Carradine; Charley Grapewin;
La Grande Illusion,1937,8.1,Jean Renoir; Jean Gabin; Dita Parlo; Pierre Fresnay; Erich von Stroheim;
It Happened One Night,1934,8.1,Frank Capra; Clark Gable; Claudette Colbert; Walter Connolly; Roscoe Karns;
All Quiet on the Western Front,1930,8.1,Lewis Milestone; Lew Ayres; Louis Wolheim; John Wray; Arnold Lucy;
La passion de Jeanne d'Arc,1928,8.1,Carl Theodor Dreyer; Maria Falconetti; Eugene Silvain; André Berley; Maurice Schutz;
Das Cabinet des Dr. Caligari,1920,8.1,Robert Wiene; Werner Krauss; Conrad Veidt; Friedrich Feher; Lil Dagover;
Manbiki kazoku,2018,8.0,Hirokazu Koreeda; Lily Franky; Sakura Andô; Kirin Kiki; Mayu Matsuoka;
John Wick: Chapter 3 - Parabellum,2019,8.0,Chad Stahelski; Keanu Reeves; Halle Berry; Ian McShane; Laurence Fishburne;
Bajrangi Bhaijaan,2015,8.0,Kabir Khan; Salman Khan; Harshaali Malhotra; Nawazuddin Siddiqui; Kareena Kapoor;
Baby,I) (2015,8.0,Neeraj Pandey; Akshay Kumar; Danny Denzongpa; Rana Daggubati; Taapsee Pannu;
La La Land,I) (2016,8.0,Damien Chazelle; Ryan Gosling; Emma Stone; Rosemarie DeWitt; J.K. Simmons;
The Martian,2015,8.0,Ridley Scott; Matt Damon; Jessica Chastain; Kristen Wiig; Kate Mara;
Sing Street,2016,8.0,John Carney; Ferdia Walsh-Peelo; Aidan Gillen; Maria Doyle Kennedy; Jack Reynor;
Zootopia,2016,8.0,Byron Howard; Rich Moore; Jared Bush; Ginnifer Goodwin; Jason Bateman; Idris Elba; Jenny Slate;
Kaguyahime no monogatari,2013,8.0,Isao Takahata; Chloë Grace Moretz; James Caan; Mary Steenburgen; James Marsden;
Wonder,I) (2017,8.0,Stephen Chbosky; Jacob Tremblay; Owen Wilson; Izabela Vidovic; Julia Roberts;
Star Wars: Episode VII - The Force Awakens,2015,8.0,J.J. Abrams; Daisy Ridley; John Boyega; Oscar Isaac; Domhnall Gleeson;
Special Chabbis,2013,8.0,Neeraj Pandey; Akshay Kumar; Anupam Kher; Manoj Bajpayee; Jimmy Sheirgill;
Short Term 12,2013,8.0,Destin Daniel Cretton; Brie Larson; Frantz Turner; John Gallagher Jr.; Kaitlyn Dever;
Serbuan Maut 2: Berandal,2014,8.0,Gareth Evans; Iko Uwais; Yayan Ruhian; Arifin Putra; Oka Antara;
The Imitation Game,2014,8.0,Alan Turing; Morten Tyldum; Benedict Cumberbatch; Keira Knightley; Matthew Goode; Allen Leech;
