Title, Year, Rating, Cast
Back to the Future,1985,8.5,Robert Zemeckis; Michael J. Fox; Christopher Lloyd; Lea Thompson; Crispin Glover;
Raiders of the Lost Ark,1981,8.5,Adolf Hitler; Steven Spielberg; Harrison Ford; Karen Allen; Paul Freeman; John Rhys-Davies;
Apocalypse Now,1979,8.5,Francis Ford Coppola; Martin Sheen; Marlon Brando; Robert Duvall; Frederic Forrest;
Alien,1979,8.5,Ridley Scott; Sigourney Weaver; Tom Skerritt; John Hurt; Veronica Cartwright;
Once Upon a Time in the West,1968,8.5,Sergio Leone; Henry Fonda; Charles Bronson; Claudia Cardinale; Jason Robards;
Psycho,1960,8.5,Alfred Hitchcock; Anthony Perkins; Janet Leigh; Vera Miles; John Gavin;
Rear Window,1954,8.5,Alfred Hitchcock; James Stewart; Grace Kelly; Wendell Corey; Thelma Ritter;
Casablanca,1942,8.5,Michael Curtiz; Humphrey Bogart; Ingrid Bergman; Paul Henreid; Claude Rains;
The Great Dictator,1940,8.5,Charles Chaplin; Charles Chaplin; Paulette Goddard; Jack Oakie; Reginald Gardiner;
Modern Times,1936,8.5,Charles Chaplin; Charles Chaplin; Paulette Goddard; Henry Bergman; Tiny Sandford;
City Lights,1931,8.5,Charles Chaplin; Charles Chaplin; Virginia Cherrill; Florence Lee; Harry Myers;
Andhadhun,2018,8.4,Sriram Raghavan; Ayushmann Khurrana; Tabu; Radhika Apte; Anil Dhawan;
Kimi no na wa.,2016,8.4,Makoto Shinkai; Ryûnosuke Kamiki; Mone Kamishiraishi; Ryô Narita; Aoi Yûki;
Coco,I) (2017,8.4,Lee Unkrich; Adrian Molina; Anthony Gonzalez; Gael García Bernal; Benjamin Bratt; Alanna Ubach;
Toy Story 4,2019,8.4,Josh Cooley; Tom Hanks; Tim Allen; Annie Potts; Tony Hale;
Django Unchained,2012,8.4,Quentin Tarantino; Jamie Foxx; Christoph Waltz; Leonardo DiCaprio; Kerry Washington;
The Dark Knight Rises,2012,8.4,Christopher Nolan; Christian Bale; Tom Hardy; Anne Hathaway; Gary Oldman;
3 Idiots,2009,8.4,Rajkumar Hirani; Aamir Khan; Madhavan; Mona Singh; Sharman Joshi;
Taare Zameen Par,2007,8.4,Aamir Khan; Amole Gupte; Darsheel Safary; Aamir Khan; Tisca Chopra; Vipin Sharma;
WALL·E,2008,8.4,Andrew Stanton; Ben Burtt; Elissa Knight; Jeff Garlin; Fred Willard;
Babam ve Oglum,2005,8.4,Çagan Irmak; Çetin Tekindor; Fikret Kuskan; Hümeyra; Ege Tanman;
The Lives of Others,2006,8.4,Florian Henckel von Donnersmarck; Ulrich Mühe; Martina Gedeck; Sebastian Koch; Ulrich Tukur;
Oldeuboi,2003,8.4,Chan-wook Park; Min-sik Choi; Ji-tae Yu; Hye-jeong Kang; Dae-han Ji;
American Beauty,1999,8.4,Sam Mendes; Kevin Spacey; Annette Bening; Thora Birch; Wes Bentley;
Mononoke-hime,1997,8.4,Hayao Miyazaki; Yôji Matsuda; Yuriko Ishida; Yûko Tanaka; Billy Crudup;
Braveheart,1995,8.4,Mel Gibson; Mel Gibson; Sophie Marceau; Patrick McGoohan; Angus Macfadyen;
Aliens,1986,8.4,James Cameron; Sigourney Weaver; Michael Biehn; Carrie Henn; Paul Reiser;
Once Upon a Time in America,1984,8.4,Sergio Leone; Robert De Niro; James Woods; Elizabeth McGovern; Treat Williams;
Das Boot,1981,8.4,Wolfgang Petersen; Jürgen Prochnow; Herbert Grönemeyer; Klaus Wennemann; Hubertus Bengsch;
The Shining,1980,8.4,Stanley Kubrick; Jack Nicholson; Shelley Duvall; Danny Lloyd; Scatman Crothers;
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Stanley Kubrick; Peter Sellers; George C. Scott; Sterling Hayden; Keenan Wynn;
